cl010105569;"Vase en jade avec couvercle, panse ornée de dragons";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 183";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105571;"Vase en jade à couvercle ; socle en bois de fer";Anonyme;"1800 / 1900  (XIXe siècle)";"R 185";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105572;"Coupe en jade prise dans un lacis de branchage et de fleurs";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 186";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105575;"Sceptre, d'un ensemble de quatre (R 189 à R 192)";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 192";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105578;"Boîte cylindrique ajourée en jade avec trois pieds en têtes de béliers, couvercle plat";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 197";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105610;"Petit vase à couvercle mobile et son socle, en jade vert pâle";Anonyme;"1800 / 1900  (XIXe siècle)";"R 401";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105622;"Petite boîte en jade";Anonyme;"1800 / 1900  (XIXe siècle)";"R 440";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105645;"Soucoupe d'une série de quatre (R 1002 à 1005)";;"1700 / 1800  (XVIIIe siècle [?])";"R 1003";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010105646;"Soucoupe d'une série de quatre (R 1002 à 1005)";;"1700 / 1800  (XVIIIe siècle [?])";"R 1004";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010105647;"Soucoupe d'une série de quatre (R 1002 à 1005)";;"1700 / 1800  (XVIIIe siècle [?])";"R 1005";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010105648;"Petite soucoupe en porcelaine coquille d'oeuf";;;"R 1021";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010105652;"Tasse et soucoupe";"Chine - atelier de Canton";"vers 1735";"R 1042";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010105660;"Bol, décor en relief avec réserves de personnages.";;"1700 / 1800  (XVIIIe siècle)";"R 1061";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010105663;"Tasse à revers rubis avec sa soucoupe";;;"R 1131";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010105667;"Tasse et soucoupe";;"1800 / 1900  (XIXe siècle)";"R 1135";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010105669;"Tasse et soucoupe";"Chine, atelier de Jingdezhen";"1730 / 1735  (XVIIIe siècle)";"R 1139";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010105942;"Encrier en cristal de roche";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 137";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105947;"Petit vase en jade vert pâle à couvercle, sur socle";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 164";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010105948;"Coupe en jade sur trois pieds";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 182";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010106224;"Soucoupe, d'une série de douze (R 946 à 957)";;;"R 948";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106226;"Soucoupe, d'une série de douze (R 946 à 957)";;;"R 950";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106228;"Soucoupe, d'une série de douze (R 946 à 957)";;;"R 952";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106229;"Soucoupe, d'une série de douze (R 946 à 957)";;;"R 954";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106244;"Soucoupe en porcelaine de Chine coquille d'oeuf à revers rubis";;;"R 1010";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106247;"Assiette creuse à bords dentelés";;"1800 / 1900  (XIXe siècle)";"R 1017";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106248;"Petite soucoupe à décor polychrome";;;"R 1019";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106250;"Assiette en porcelaine de Chine coquille d'oeuf Chine, époque K'Ien long (?)";;;"R 1032";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106252;"Bol en porcelaine blanche de Chine";;"1800 / 1900  (XIXe siècle)";"R 1038";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106256;"Tasse et soucoupe d'une série de douze tasses et soucoupes (R 1041 à 1052)";;"1735 / 1796  (XVIIIe siècle)";"R 1049";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106257;"Assiette en porcelaine de Chine coquille d'oeuf";;;"R 1054";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106260;"Encrier de forme ovale sur trois pieds.";;"1662 / 1722  (Fin du XVIIe siècle - début du XVIIIè siècle)";"R 1062";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106263;"Assiette en porcelaine de Chine, coquille d'oeuf, revers rubis";;"1700 / 1800  (XVIIIe siècle)";"R 1076";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106264;"Assiette en porcelaine de Chine, coquille d'oeuf, revers rubis";;"1700 / 1800  (XVIIIe siècle)";"R 1077";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106266;"Assiette en porcelaine de Chine coquille d'oeuf, revers rubis";;"1700 / 1800  (XVIIIe siècle)";"R 1080";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106273;"Assiette en porcelaine coquille d'oeuf à revers rubis";;"1700 / 1800  (XVIIIe siècle)";"R 1098";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106276;"Assiette en porcelaine coquille d'oeuf, revers rubis";;"1700 / 1800  (XVIIIe siècle)";"R 1105";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106283;"Assiette, d'une série de trois (R 1008 et R 1102)";"Chine, atelier de Jingdezhen";"1730 / 1740  (2e quart du XVIIIe siècle)";"R 1125";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106285;"Tasse et soucoupe en porcelaine";;"1800 / 1900  (XIXe siècle)";"R 1142";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106290;"Tasse à café et soucoupe, d'un service de quatre pièces (avec R 1147 à R 1150)";;"1700 / 1800  (XVIIIe siècle)";"R 1149";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106296;"Tasse et soucoupe, d'une paire avec R 1157";;;"R 1156";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106297;"Tasse et soucoupe, d'une paire avec R 1156";;;"R 1157";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106302;"Tasse et soucoupe d'une série, d'un service à thé et à café de dix-huit pièces (avec R 1160 à R 1172)";Anonyme;"1723 / 1735  (2e quart du XVIIIe siècle)";"R 1162";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106304;"Tasse et soucoupe d'une série de six ; d'un service à thé et à café de dix-huit pièces (R 1160 à 1172)";;"1700 / 1800  (XVIIIe siècle)";"R 1164";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106305;"Tasse et soucoupe d'une série, d'un service à thé et à café de dix-huit pièces (avec R 1160 à R 1172)";Anonyme;"1723 / 1735  (2e quart du XVIIIe siècle)";"R 1165";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106308;"Tasse à café et soucoupe d'une série de cinq ; d'un service à thé et à café de dix-huit pièces (R 1160 à 1172)";;"1700 / 1800  (XVIIIe siècle)";"R 1168";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106316;"Bol d'un service à thé et à café de dix-huit pièces (R 1173 à 1191)";"Chine, atelier de Jingdezhen";"vers 1735";"R 1176";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106319;"Tasse et soucoupe d'un service à thé et à café de dix-huit pièces (R 1173 à 1191)";"Chine, atelier de Jingdezhen";"vers 1735";"R 1179";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106327;"Tasse à café avec soucoupe, d'un service à thé et à café de dix-huit pièces (R 1173 à 1191)";"Chine, atelier de Jingdezhen";"vers 1735";"R 1187";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106331;"Tasse à café avec soucoupe, d'un service à thé et à café de dix-huit pièces (R 1173 à 1191)";"Chine, atelier de Jingdezhen";"vers 1735";"R 1191";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106333;"Vase sur pied bas ; panse sphérique renflée, d'une paire (R 1194)";;;"R 1195";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106336;"Théière d'un service à thé et à café de dix pièces (R 1198 à 1207)";;"1800 / 1900  (XIXe siècle)";"R 1198";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106342;"Tasse et soucoupe, d'une paire (R 1202";"Chine - atelier de Canton";"1740 / 1760  (XVIIIe siècle)";"R 1205";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106347;"Bol à couvercle, d'un service à thé et à café de douze pièces (R 1208 à 1219)";;"1700 / 1800  (XVIIIe siècle)";"R 1211";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106349;"Tasse à thé avec soucoupe mais sans couvercle, d'un service à thé et à café de douze pièces (R 1208 à 1219)";;"1700 / 1800  (XVIIIe siècle)";"R 1213";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106350;"Tasse à thé avec soucoupe mais sans couvercle, d'un service à thé et à café de douze pièces (R 1208 à 1219)";;"1700 / 1800  (XVIIIe siècle)";"R 1214";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106352;"Tasse à café avec soucoupe, d'un service à thé et à café de douze pièces (R 1208 à 1219) Chine, Yong Tcheng, marque.";;"1700 / 1800  (XVIIIe siècle)";"R 1216";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106353;"Tasse à café à anse et sa soucoupe, d'un service à thé et à café de douze pièces (R 1208 à 1219)";;"1700 / 1800  (XVIIIe siècle)";"R 1217";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106355;"Tasse à café avec soucoupe, d'un service à thé et à café de douze pièces (R 1208 à 1219)";;"1700 / 1800  (XVIIIe siècle)";"R 1219";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106363;"Tasse et soucoupe";;"1700 / 1800  (XVIIIe siècle)";"R 1229";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010106441;"Sceptre d'une paire (avec R 1340)";;"1800 / 1900  (XIXe siècle)";"R 1339";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010106457;"Coupe ronde en jade sur quatre petits pieds";;"1800 / 1900  (XIXe siècle)";"R 1365";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010106458;"Théière en jade, à couvercle, sur trois pieds bas avec anses et goulot gravés";;"1800 / 1900  (XIXe siècle)";"R 1366";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010106459;"Vase en jade (d'une paire avec R 1369), à bords dentelés";;"1800 / 1900  (XIXe siècle)";"R 1368";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010106460;"Vase en jade (d'une paire avec R 1368), à bords dentelés";;"1800 / 1900  (XIXe siècle)";"R 1369";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010106461;"Petite coupe verseuse à bec en jade, anse formée d'une tête de dragon";;"1800 / 1900  (XIXe siècle)";"R 1372";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010106462;"Bol de forme ovale en jade, sur pied bas";;"1800 / 1900  (XIXe siècle)";"R 1375";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010106476;"Tasse et soucoupe";Anonyme;"1800 / 1900  (XIXe siècle)";"R 1399";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010106478;"Couvercle de vase en porcelaine blanche, à attributs, vases et fleurs polychromes";;;"R 1403";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010106479;"Coupe d'une série de huit (R 1404 à 1411)";Anonyme;"1700 / 1800  (XVIIIe siècle [?])";"R 1405";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010106480;"Coupe d'une série de huit (R 1404 à 1411)";Anonyme;"1700 / 1800  (XVIIIe siècle [?])";"R 1407";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010106482;"Coupe d'une série de huit (R 1404 à 1411)";Anonyme;"1700 / 1800  (XVIIIe siècle [?])";"R 1410";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010106485;Bassin;;"1800 / 1900  (XIXe siècle)";"R 1416";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010106579;"Vase plat à deux anses en jade vert pâle";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 117";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010108106;Coupe;;"vers 1650";"MR 157";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine (?)";"Denon, [OArt] Salle 705 - Galerie d'Apollon, Vitrines tables, vitrine table 1";
cl010108113;Coupe;;"vers 1650";"MR 243";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Denon, [OArt] Salle 705 - Galerie d'Apollon, Vitrines tables, vitrine table 1";
cl010109398;"Petit flacon à tabac";;;"TH 459";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010109602;"Jarre à décor de huit immortels traversant la mer";Chine;"1723 / 1735  (XIXe siècle ; 2e quart du XVIIIe siècle)";"TH 462";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010109603;"Assiette coquille d'oeuf ""ruby back"" décorée d'une mère et de ses garçons";"Ateliers de Jingdezehn ou de Canton (Chine)";"vers 1730";"TH 466";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010109613;"Plat rond, d'une paire (TH 488)";Anonyme;;"TH 489";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010109616;"Tasse à thé avec soucoupe en porcelaine ""coquille d'oeuf""";"Chine, atelier de Jingdezhen";"1730 / 1735  (XVIIIe siècle)";"TH 492";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010109620;"Soucoupe d'un ensemble de quatre (TH 500 à 503), d'un service (TH 497 à 504)";"Chine - atelier de Canton";"1700 / 1800  (XVIIIe siècle)";"TH 501";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010109621;"Soucoupe d'un ensemble de quatre (TH 500 à 503), d'un service (TH 497 à 504)";"Chine - atelier de Canton";"1730 / 1735  (XVIIIe siècle)";"TH 503";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010109623;"Tasse à thé et soucoupe d'un ensemble de trois (TH 505 à 507)";"Chine - atelier de Canton";"1750 / 1760  (XVIIIe siècle)";"TH 506";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010109624;"Tasse à thé, d'un ensemble de trois (TH 505 à 507)";"Chine - atelier de Canton";"1750 / 1860  (XVIIIe siècle)";"TH 507";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010109627;"Tasse haute à anse, d'un ensemble de trois (TH 508 à 510)";"Chine - atelier de Canton";"1700 / 1800  (XVIIIe siècle [?])";"TH 510";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010109631;"Soupière et son plateau (TH 517)";Anonyme;;"TH 516";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine (?)";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010109632;"Assiette d'échantillon, d'un ensemble de dix-sept (TH 519 à 535)";;;"TH 523";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine (?)";"non exposé";
cl010109633;"Assiette d'échantillon, d'un ensemble de dix-sept (TH 519 à 535)";;;"TH 532";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine (?)";"non exposé";
cl010109635;"Assiette d'échantillon, d'un ensemble de dix-sept (TH 519 à 535)";;;"TH 520";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine (?)";"non exposé";
cl010109636;"Assiette d'échantillon, d'un ensemble de dix-sept (TH 519 à 535)";;;"TH 524";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine (?)";"non exposé";
cl010109638;"Assiette d'échantillon, d'un ensemble de dix-sept (TH 519 à 535)";;;"TH 528";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine (?)";"non exposé";
cl010109639;"Assiette d'échantillon, d'un ensemble de dix-sept (TH 519 à 535)";;;"TH 530";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine (?)";"non exposé";
cl010109640;"Assiette d'échantillon, d'un ensemble de dix-sept (TH 519 à 535)";;;"TH 531";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine (?)";"non exposé";
cl010109641;"Assiette d'échantillon, d'un ensemble de dix-sept (TH 519 à 535)";;;"TH 534";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine (?)";"non exposé";
cl010109644;"Assiette, d'une paire (TH 539)";"Chine - atelier de Canton";"1730 / 1740  (XVIIIe siècle)";"TH 540";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010109646;"Assiette, d'un ensemble de trois (TH 541 à 543)";;;"TH 542";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine (?)";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010109647;"Assiette, d'un ensemble de trois (TH 541 à 543)";;;"TH 543";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine (?)";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010109649;"Petit plat ovale, d'un ensemble de quatre (TH 544 à 547)";"Chine - atelier de Canton";"1775 / 1785  (XVIIIe siècle)";"TH 545";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine (?)";"non exposé";
cl010112002;"Vase couvert meiping 梅瓶, d'une paire (TH 303)";Chine;"1700 / 1800  (XVIIIe siècle)";"TH 302";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010112029;"Album des Quarante vues du Yuanming Yuan";Chine;"1785 / 1815  (Fin du XVIIIe siècle - début du XIXe siècle)";"TH 280; SN 309";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010112083;"Assiette porcelaine de Chine, coquille d'oeuf à revers rubis";;"1700 / 1800  (XVIIIe siècle)";"R 1058";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010112084;"Assiette, porcelaine de Chine, coquille d'oeuf";;"1700 / 1800  (XVIIIe siècle)";"R 1070";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010112085;"Assiette en porcelaine coquille d'oeuf à revers rubis";;"1700 / 1800  (XVIIIe siècle)";"R 1106";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Paris (France), FNAGP - Fondation Salomon de Rothschild";
cl010113131;"Plateau en forme de feuille de vigne";Chine;"1700 / 1800  (XVIIIe siècle)";"TH 380";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010113885;"Boîte cylindrique en jade, sur quatre pieds bas, à couvercle";;"1800 / 1900  (XIXe siècle)";"R 1370";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010113886;"Coupe-papier en jade à manche droit";;"1800 / 1900  (XIXe siècle)";"R 1343";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010114270;"album contenant douze scènes diverses";"Ye Chengxue 葉成學";1834;"TH 279; SN 310";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
cl010114491;"Coupe couverte en jade vert foncé à anses relevées, sur trois pieds bas ronds";Anonyme;"1700 / 1800  (XVIIIe siècle)";"R 161";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"non exposé";
cl010114570;"Vase couvert";Chine;"XIXe siècle";"TH 311";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Richelieu, [OArt] Salle 550 - Elise Dosne-Thiers, Vitrine 4, Etagère 2";
cl010114571;"Calice gu";Chine;"1725 / 1750  (2e quart du XVIIIe siècle)";"TH 304";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Lieu de création : Chine";"Napoléon, Salle 001 - Expositions temporaires Hall Napoléon";
